# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和7年度,1年前,2025-05-30,金,179万円,116万円 (153.6%),116万円 (153.6%),201,146 (137.7%),146 (137.7%),"8,890","7,969 (111.6%)","7,969 (111.6%)"
宿泊,令和7年度,1年前,2025-05-31,土,161万円,81万円 (199.3%),81万円 (199.3%),131,75 (174.7%),75 (174.7%),"12,269","10,750 (114.1%)","10,750 (114.1%)"
宿泊,令和7年度,1年前,2025-06-01,日,239万円,219万円 (108.9%),219万円 (108.9%),225,201 (111.9%),201 (111.9%),"10,621","10,918 (97.3%)","10,918 (97.3%)"
宿泊,令和7年度,1年前,2025-06-02,月,93万円,94万円 (99.0%),94万円 (99.0%),89,80 (111.3%),80 (111.3%),"10,461","11,761 (88.9%)","11,761 (88.9%)"
宿泊,令和7年度,1年前,2025-06-03,火,98万円,90万円 (108.4%),90万円 (108.4%),110,96 (114.6%),96 (114.6%),"8,910","9,418 (94.6%)","9,418 (94.6%)"
宿泊,令和7年度,1年前,2025-06-04,水,115万円,101万円 (113.4%),101万円 (113.4%),114,109 (104.6%),109 (104.6%),"10,057","9,276 (108.4%)","9,276 (108.4%)"
宿泊,令和7年度,1年前,2025-06-05,木,156万円,70万円 (223.2%),70万円 (223.2%),174,90 (193.3%),90 (193.3%),"8,937","7,740 (115.5%)","7,740 (115.5%)"
宿泊,令和7年度,1年前,2025-06-06,金,233万円,145万円 (160.3%),145万円 (160.3%),251,184 (136.4%),184 (136.4%),"9,272","7,891 (117.5%)","7,891 (117.5%)"
宿泊,令和7年度,1年前,2025-06-07,土,199万円,157万円 (127.2%),157万円 (127.2%),158,128 (123.4%),128 (123.4%),"12,620","12,250 (103.0%)","12,250 (103.0%)"
宿泊,令和7年度,1年前,2025-06-08,日,356万円,373万円 (95.4%),373万円 (95.4%),263,339 (77.6%),339 (77.6%),"13,541","11,013 (123.0%)","11,013 (123.0%)"
宿泊,令和7年度,1年前,2025-06-09,月,116万円,105万円 (110.2%),105万円 (110.2%),93,89 (104.5%),89 (104.5%),"12,481","11,838 (105.4%)","11,838 (105.4%)"
宿泊,令和7年度,1年前,2025-06-10,火,114万円,79万円 (144.7%),79万円 (144.7%),110,80 (137.5%),80 (137.5%),"10,387","9,868 (105.3%)","9,868 (105.3%)"
宿泊,令和7年度,1年前,2025-06-11,水,220万円,89万円 (248.7%),89万円 (248.7%),242,88 (275.0%),88 (275.0%),"9,106","10,068 (90.4%)","10,068 (90.4%)"
宿泊,令和7年度,1年前,2025-06-12,木,130万円,100万円 (130.9%),100万円 (130.9%),132,103 (128.2%),103 (128.2%),"9,883","9,676 (102.1%)","9,676 (102.1%)"
宿泊,令和7年度,1年前,2025-06-13,金,162万円,196万円 (82.4%),196万円 (82.4%),171,189 (90.5%),189 (90.5%),"9,452","10,372 (91.1%)","10,372 (91.1%)"
宿泊,令和7年度,1年前,2025-06-14,土,206万円,175万円 (117.7%),175万円 (117.7%),190,153 (124.2%),153 (124.2%),"10,859","11,453 (94.8%)","11,453 (94.8%)"
宿泊,令和7年度,1年前,2025-06-15,日,368万円,253万円 (145.3%),253万円 (145.3%),306,239 (128.0%),239 (128.0%),"12,016","10,587 (113.5%)","10,587 (113.5%)"
宿泊,令和7年度,1年前,2025-06-16,月,191万円,150万円 (126.9%),150万円 (126.9%),153,131 (116.8%),131 (116.8%),"12,456","11,462 (108.7%)","11,462 (108.7%)"
宿泊,令和7年度,1年前,2025-06-17,火,115万円,100万円 (114.7%),100万円 (114.7%),105,111 (94.6%),111 (94.6%),"10,977","9,050 (121.3%)","9,050 (121.3%)"
宿泊,令和7年度,1年前,2025-06-18,水,138万円,123万円 (112.8%),123万円 (112.8%),145,125 (116.0%),125 (116.0%),"9,529","9,801 (97.2%)","9,801 (97.2%)"
宿泊,令和7年度,1年前,2025-06-19,木,125万円,122万円 (102.1%),122万円 (102.1%),128,124 (103.2%),124 (103.2%),"9,765","9,870 (98.9%)","9,870 (98.9%)"
宿泊,令和7年度,1年前,2025-06-20,金,200万円,185万円 (107.8%),185万円 (107.8%),244,188 (129.8%),188 (129.8%),"8,179","9,844 (83.1%)","9,844 (83.1%)"
宿泊,令和7年度,1年前,2025-06-21,土,231万円,217万円 (106.2%),217万円 (106.2%),218,205 (106.3%),205 (106.3%),"10,590","10,605 (99.9%)","10,605 (99.9%)"
宿泊,令和7年度,1年前,2025-06-22,日,386万円,305万円 (126.5%),305万円 (126.5%),315,249 (126.5%),249 (126.5%),"12,239","12,244 (100.0%)","12,244 (100.0%)"
宿泊,令和7年度,1年前,2025-06-23,月,135万円,170万円 (79.7%),170万円 (79.7%),94,140 (67.1%),140 (67.1%),"14,379","12,112 (118.7%)","12,112 (118.7%)"
宿泊,令和7年度,1年前,2025-06-24,火,105万円,139万円 (75.6%),139万円 (75.6%),91,127 (71.7%),127 (71.7%),"11,528","10,919 (105.6%)","10,919 (105.6%)"
宿泊,令和7年度,1年前,2025-06-25,水,135万円,194万円 (69.3%),194万円 (69.3%),145,172 (84.3%),172 (84.3%),"9,291","11,305 (82.2%)","11,305 (82.2%)"
宿泊,令和7年度,1年前,2025-06-26,木,178万円,131万円 (135.8%),131万円 (135.8%),201,138 (145.7%),138 (145.7%),"8,875","9,520 (93.2%)","9,520 (93.2%)"
宿泊,令和7年度,1年前,2025-06-27,金,142万円,211万円 (67.0%),211万円 (67.0%),166,224 (74.1%),224 (74.1%),"8,526","9,435 (90.4%)","9,435 (90.4%)"
宿泊,令和7年度,1年前,2025-06-28,土,161万円,213万円 (75.8%),213万円 (75.8%),171,193 (88.6%),193 (88.6%),"9,434","11,030 (85.5%)","11,030 (85.5%)"
宿泊,令和7年度,1年前,2025-06-29,日,368万円,347万円 (106.1%),347万円 (106.1%),314,309 (101.6%),309 (101.6%),"11,730","11,239 (104.4%)","11,239 (104.4%)"
宿泊,令和7年度,1年前,2025-06-30,月,129万円,124万円 (103.5%),124万円 (103.5%),108,92 (117.4%),92 (117.4%),"11,922","13,521 (88.2%)","13,521 (88.2%)"
宿泊,令和7年度,1年前,2025-07-01,火,81万円,87万円 (93.8%),87万円 (93.8%),68,97 (70.1%),97 (70.1%),"11,949","8,934 (133.7%)","8,934 (133.7%)"
宿泊,令和7年度,1年前,2025-07-02,水,116万円,146万円 (79.5%),146万円 (79.5%),108,169 (63.9%),169 (63.9%),"10,713","8,610 (124.4%)","8,610 (124.4%)"
宿泊,令和7年度,1年前,2025-07-03,木,102万円,87万円 (117.7%),87万円 (117.7%),111,111 (100.0%),111 (100.0%),"9,213","7,828 (117.7%)","7,828 (117.7%)"
宿泊,令和7年度,1年前,2025-07-04,金,194万円,159万円 (121.6%),159万円 (121.6%),192,170 (112.9%),170 (112.9%),"10,092","9,374 (107.7%)","9,374 (107.7%)"
宿泊,令和7年度,1年前,2025-07-05,土,140万円,121万円 (116.0%),121万円 (116.0%),120,118 (101.7%),118 (101.7%),"11,652","10,218 (114.0%)","10,218 (114.0%)"
宿泊,令和7年度,1年前,2025-07-06,日,319万円,182万円 (175.6%),182万円 (175.6%),248,174 (142.5%),174 (142.5%),"12,855","10,432 (123.2%)","10,432 (123.2%)"
宿泊,令和7年度,1年前,2025-07-07,月,134万円,120万円 (111.1%),120万円 (111.1%),122,89 (137.1%),89 (137.1%),"10,950","13,508 (81.1%)","13,508 (81.1%)"
宿泊,令和7年度,1年前,2025-07-08,火,88万円,76万円 (116.6%),76万円 (116.6%),103,80 (128.8%),80 (128.8%),"8,569","9,461 (90.6%)","9,461 (90.6%)"
宿泊,令和7年度,1年前,2025-07-09,水,94万円,88万円 (107.1%),88万円 (107.1%),100,89 (112.4%),89 (112.4%),"9,379","9,837 (95.3%)","9,837 (95.3%)"
宿泊,令和7年度,1年前,2025-07-10,木,79万円,84万円 (94.0%),84万円 (94.0%),92,83 (110.8%),83 (110.8%),"8,543","10,076 (84.8%)","10,076 (84.8%)"
宿泊,令和7年度,1年前,2025-07-11,金,145万円,173万円 (83.5%),173万円 (83.5%),154,195 (79.0%),195 (79.0%),"9,398","8,893 (105.7%)","8,893 (105.7%)"
宿泊,令和7年度,1年前,2025-07-12,土,120万円,227万円 (53.1%),227万円 (53.1%),105,231 (45.5%),231 (45.5%),"11,465","9,820 (116.8%)","9,820 (116.8%)"
宿泊,令和7年度,1年前,2025-07-13,日,279万円,333万円 (83.8%),333万円 (83.8%),213,299 (71.2%),299 (71.2%),"13,087","11,126 (117.6%)","11,126 (117.6%)"
宿泊,令和7年度,1年前,2025-07-14,月,71万円,319万円 (22.4%),319万円 (22.4%),69,258 (26.7%),258 (26.7%),"10,350","12,356 (83.8%)","12,356 (83.8%)"
宿泊,令和7年度,1年前,2025-07-15,火,79万円,101万円 (78.5%),101万円 (78.5%),88,103 (85.4%),103 (85.4%),"8,975","9,769 (91.9%)","9,769 (91.9%)"
宿泊,令和7年度,1年前,2025-07-16,水,113万円,79万円 (143.7%),79万円 (143.7%),111,88 (126.1%),88 (126.1%),"10,214","8,966 (113.9%)","8,966 (113.9%)"
宿泊,令和7年度,1年前,2025-07-17,木,159万円,88万円 (181.0%),88万円 (181.0%),173,107 (161.7%),107 (161.7%),"9,168","8,192 (111.9%)","8,192 (111.9%)"
宿泊,令和7年度,1年前,2025-07-18,金,209万円,133万円 (157.8%),133万円 (157.8%),214,143 (149.7%),143 (149.7%),"9,779","9,273 (105.5%)","9,273 (105.5%)"
宿泊,令和7年度,1年前,2025-07-19,土,161万円,111万円 (145.2%),111万円 (145.2%),134,127 (105.5%),127 (105.5%),"12,000","8,720 (137.6%)","8,720 (137.6%)"
宿泊,令和7年度,1年前,2025-07-20,日,434万円,212万円 (204.4%),212万円 (204.4%),332,209 (158.9%),209 (158.9%),"13,062","10,151 (128.7%)","10,151 (128.7%)"
宿泊,令和7年度,1年前,2025-07-21,月,400万円,107万円 (373.5%),107万円 (373.5%),297,86 (345.3%),86 (345.3%),"13,481","12,463 (108.2%)","12,463 (108.2%)"
宿泊,令和7年度,1年前,2025-07-22,火,147万円,101万円 (145.4%),101万円 (145.4%),114,99 (115.2%),99 (115.2%),"12,915","10,226 (126.3%)","10,226 (126.3%)"
宿泊,令和7年度,1年前,2025-07-23,水,95万円,83万円 (114.7%),83万円 (114.7%),98,110 (89.1%),110 (89.1%),"9,673","7,511 (128.8%)","7,511 (128.8%)"
宿泊,令和7年度,1年前,2025-07-24,木,154万円,95万円 (161.1%),95万円 (161.1%),148,110 (134.5%),110 (134.5%),"10,387","8,673 (119.8%)","8,673 (119.8%)"
宿泊,令和7年度,1年前,2025-07-25,金,156万円,157万円 (99.1%),157万円 (99.1%),166,181 (91.7%),181 (91.7%),"9,371","8,668 (108.1%)","8,668 (108.1%)"
宿泊,令和7年度,1年前,2025-07-26,土,181万円,144万円 (125.1%),144万円 (125.1%),140,141 (99.3%),141 (99.3%),"12,895","10,233 (126.0%)","10,233 (126.0%)"
宿泊,令和7年度,1年前,2025-07-27,日,309万円,227万円 (136.2%),227万円 (136.2%),260,215 (120.9%),215 (120.9%),"11,881","10,548 (112.6%)","10,548 (112.6%)"
宿泊,令和7年度,1年前,2025-07-28,月,264万円,117万円 (226.0%),117万円 (226.0%),201,91 (220.9%),91 (220.9%),"13,152","12,853 (102.3%)","12,853 (102.3%)"
宿泊,令和7年度,1年前,2025-07-29,火,141万円,102万円 (138.6%),102万円 (138.6%),112,105 (106.7%),105 (106.7%),"12,621","9,714 (129.9%)","9,714 (129.9%)"
宿泊,令和7年度,1年前,2025-07-30,水,172万円,121万円 (142.1%),121万円 (142.1%),166,128 (129.7%),128 (129.7%),"10,365","9,458 (109.6%)","9,458 (109.6%)"
宿泊,令和7年度,1年前,2025-07-31,木,175万円,91万円 (193.2%),91万円 (193.2%),157,99 (158.6%),99 (158.6%),"11,138","9,144 (121.8%)","9,144 (121.8%)"
宿泊,令和7年度,1年前,2025-08-01,金,187万円,106万円 (176.6%),106万円 (176.6%),176,118 (149.2%),118 (149.2%),"10,627","8,975 (118.4%)","8,975 (118.4%)"
宿泊,令和7年度,1年前,2025-08-02,土,191万円,194万円 (98.6%),194万円 (98.6%),190,214 (88.8%),214 (88.8%),"10,057","9,060 (111.0%)","9,060 (111.0%)"
宿泊,令和7年度,1年前,2025-08-03,日,260万円,261万円 (99.7%),261万円 (99.7%),204,245 (83.3%),245 (83.3%),"12,768","10,662 (119.8%)","10,662 (119.8%)"
宿泊,令和7年度,1年前,2025-08-04,月,175万円,90万円 (195.2%),90万円 (195.2%),138,80 (172.5%),80 (172.5%),"12,694","11,217 (113.2%)","11,217 (113.2%)"
宿泊,令和7年度,1年前,2025-08-05,火,157万円,181万円 (86.7%),181万円 (86.7%),141,181 (77.9%),181 (77.9%),"11,157","10,020 (111.3%)","10,020 (111.3%)"
宿泊,令和7年度,1年前,2025-08-06,水,174万円,187万円 (93.0%),187万円 (93.0%),152,201 (75.6%),201 (75.6%),"11,433","9,299 (123.0%)","9,299 (123.0%)"
宿泊,令和7年度,1年前,2025-08-07,木,179万円,152万円 (118.0%),152万円 (118.0%),162,170 (95.3%),170 (95.3%),"11,044","8,919 (123.8%)","8,919 (123.8%)"
宿泊,令和7年度,1年前,2025-08-08,金,166万円,175万円 (94.5%),175万円 (94.5%),195,183 (106.6%),183 (106.6%),"8,490","9,571 (88.7%)","9,571 (88.7%)"
宿泊,令和7年度,1年前,2025-08-09,土,206万円,158万円 (130.7%),158万円 (130.7%),195,161 (121.1%),161 (121.1%),"10,581","9,803 (107.9%)","9,803 (107.9%)"
宿泊,令和7年度,1年前,2025-08-10,日,425万円,395万円 (107.7%),395万円 (107.7%),316,297 (106.4%),297 (106.4%),"13,452","13,289 (101.2%)","13,289 (101.2%)"
宿泊,令和7年度,1年前,2025-08-11,月,581万円,422万円 (137.6%),422万円 (137.6%),438,336 (130.4%),336 (130.4%),"13,262","12,567 (105.5%)","12,567 (105.5%)"
宿泊,令和7年度,1年前,2025-08-12,火,400万円,296万円 (135.4%),296万円 (135.4%),372,238 (156.3%),238 (156.3%),"10,765","12,425 (86.6%)","12,425 (86.6%)"
宿泊,令和7年度,1年前,2025-08-13,水,421万円,417万円 (100.9%),417万円 (100.9%),354,326 (108.6%),326 (108.6%),"11,892","12,803 (92.9%)","12,803 (92.9%)"
宿泊,令和7年度,1年前,2025-08-14,木,419万円,331万円 (126.4%),331万円 (126.4%),355,287 (123.7%),287 (123.7%),"11,800","11,550 (102.2%)","11,550 (102.2%)"
宿泊,令和7年度,1年前,2025-08-15,金,389万円,313万円 (124.4%),313万円 (124.4%),342,258 (132.6%),258 (132.6%),"11,376","12,121 (93.9%)","12,121 (93.9%)"
宿泊,令和7年度,1年前,2025-08-16,土,441万円,315万円 (139.8%),315万円 (139.8%),355,241 (147.3%),241 (147.3%),"12,410","13,076 (94.9%)","13,076 (94.9%)"
宿泊,令和7年度,1年前,2025-08-17,日,396万円,245万円 (161.9%),245万円 (161.9%),315,229 (137.6%),229 (137.6%),"12,564","10,677 (117.7%)","10,677 (117.7%)"
宿泊,令和7年度,1年前,2025-08-18,月,217万円,135万円 (160.8%),135万円 (160.8%),162,104 (155.8%),104 (155.8%),"13,383","12,965 (103.2%)","12,965 (103.2%)"
宿泊,令和7年度,1年前,2025-08-19,火,133万円,85万円 (157.0%),85万円 (157.0%),120,101 (118.8%),101 (118.8%),"11,119","8,412 (132.2%)","8,412 (132.2%)"
宿泊,令和7年度,1年前,2025-08-20,水,143万円,163万円 (88.0%),163万円 (88.0%),141,161 (87.6%),161 (87.6%),"10,161","10,114 (100.5%)","10,114 (100.5%)"
宿泊,令和7年度,1年前,2025-08-21,木,171万円,150万円 (114.3%),150万円 (114.3%),163,170 (95.9%),170 (95.9%),"10,509","8,818 (119.2%)","8,818 (119.2%)"
宿泊,令和7年度,1年前,2025-08-22,金,206万円,221万円 (93.4%),221万円 (93.4%),207,222 (93.2%),222 (93.2%),"9,972","9,953 (100.2%)","9,953 (100.2%)"
宿泊,令和7年度,1年前,2025-08-23,土,214万円,126万円 (169.2%),126万円 (169.2%),181,124 (146.0%),124 (146.0%),"11,811","10,190 (115.9%)","10,190 (115.9%)"
宿泊,令和7年度,1年前,2025-08-24,日,331万円,267万円 (124.3%),267万円 (124.3%),284,250 (113.6%),250 (113.6%),"11,662","10,662 (109.4%)","10,662 (109.4%)"
宿泊,令和7年度,1年前,2025-08-25,月,164万円,110万円 (148.2%),110万円 (148.2%),138,97 (142.3%),97 (142.3%),"11,861","11,390 (104.1%)","11,390 (104.1%)"
宿泊,令和7年度,1年前,2025-08-26,火,134万円,134万円 (100.0%),134万円 (100.0%),143,141 (101.4%),141 (101.4%),"9,360","9,491 (98.6%)","9,491 (98.6%)"
宿泊,令和7年度,1年前,2025-08-27,水,141万円,119万円 (119.2%),119万円 (119.2%),147,119 (123.5%),119 (123.5%),"9,611","9,958 (96.5%)","9,958 (96.5%)"
宿泊,令和7年度,1年前,2025-08-28,木,137万円,110万円 (124.3%),110万円 (124.3%),124,133 (93.2%),133 (93.2%),"11,063","8,297 (133.3%)","8,297 (133.3%)"
宿泊,令和7年度,1年前,2025-08-29,金,211万円,162万円 (130.7%),162万円 (130.7%),220,206 (106.8%),206 (106.8%),"9,603","7,846 (122.4%)","7,846 (122.4%)"
宿泊,令和7年度,1年前,2025-08-30,土,143万円,116万円 (123.6%),116万円 (123.6%),117,123 (95.1%),123 (95.1%),"12,225","9,409 (129.9%)","9,409 (129.9%)"
宿泊,令和7年度,1年前,2025-08-31,日,233万円,172万円 (136.0%),172万円 (136.0%),187,188 (99.5%),188 (99.5%),"12,472","9,125 (136.7%)","9,125 (136.7%)"
宿泊,令和7年度,1年前,2025-09-01,月,146万円,97万円 (150.7%),97万円 (150.7%),120,87 (137.9%),87 (137.9%),"12,192","11,160 (109.2%)","11,160 (109.2%)"
宿泊,令和7年度,1年前,2025-09-02,火,95万円,85万円 (111.6%),85万円 (111.6%),92,83 (110.8%),83 (110.8%),"10,334","10,261 (100.7%)","10,261 (100.7%)"
宿泊,令和7年度,1年前,2025-09-03,水,134万円,75万円 (180.2%),75万円 (180.2%),116,83 (139.8%),83 (139.8%),"11,593","8,991 (128.9%)","8,991 (128.9%)"
宿泊,令和7年度,1年前,2025-09-04,木,172万円,201万円 (85.4%),201万円 (85.4%),158,233 (67.8%),233 (67.8%),"10,857","8,623 (125.9%)","8,623 (125.9%)"
宿泊,令和7年度,1年前,2025-09-05,金,182万円,156万円 (116.4%),156万円 (116.4%),185,150 (123.3%),150 (123.3%),"9,830","10,418 (94.4%)","10,418 (94.4%)"
宿泊,令和7年度,1年前,2025-09-06,土,128万円,118万円 (109.0%),118万円 (109.0%),108,107 (100.9%),107 (100.9%),"11,884","11,003 (108.0%)","11,003 (108.0%)"
宿泊,令和7年度,1年前,2025-09-07,日,264万円,182万円 (145.3%),182万円 (145.3%),217,169 (128.4%),169 (128.4%),"12,161","10,747 (113.2%)","10,747 (113.2%)"
宿泊,令和7年度,1年前,2025-09-08,月,116万円,158万円 (73.0%),158万円 (73.0%),87,134 (64.9%),134 (64.9%),"13,293","11,819 (112.5%)","11,819 (112.5%)"
宿泊,令和7年度,1年前,2025-09-09,火,132万円,188万円 (70.1%),188万円 (70.1%),116,190 (61.1%),190 (61.1%),"11,370","9,909 (114.7%)","9,909 (114.7%)"
宿泊,令和7年度,1年前,2025-09-10,水,150万円,122万円 (122.5%),122万円 (122.5%),140,137 (102.2%),137 (102.2%),"10,681","8,913 (119.8%)","8,913 (119.8%)"
宿泊,令和7年度,1年前,2025-09-11,木,123万円,140万円 (88.2%),140万円 (88.2%),127,151 (84.1%),151 (84.1%),"9,687","9,241 (104.8%)","9,241 (104.8%)"
宿泊,令和7年度,1年前,2025-09-12,金,161万円,161万円 (100.1%),161万円 (100.1%),169,183 (92.3%),183 (92.3%),"9,508","8,773 (108.4%)","8,773 (108.4%)"
宿泊,令和7年度,1年前,2025-09-13,土,148万円,183万円 (80.7%),183万円 (80.7%),131,178 (73.6%),178 (73.6%),"11,300","10,301 (109.7%)","10,301 (109.7%)"
宿泊,令和7年度,1年前,2025-09-14,日,425万円,383万円 (111.0%),383万円 (111.0%),323,302 (107.0%),302 (107.0%),"13,149","12,674 (103.7%)","12,674 (103.7%)"
宿泊,令和7年度,1年前,2025-09-15,月,359万円,328万円 (109.6%),328万円 (109.6%),297,289 (102.8%),289 (102.8%),"12,089","11,336 (106.6%)","11,336 (106.6%)"
宿泊,令和7年度,1年前,2025-09-16,火,136万円,112万円 (121.7%),112万円 (121.7%),118,88 (134.1%),88 (134.1%),"11,541","12,712 (90.8%)","12,712 (90.8%)"
宿泊,令和7年度,1年前,2025-09-17,水,133万円,104万円 (128.0%),104万円 (128.0%),143,95 (150.5%),95 (150.5%),"9,325","10,968 (85.0%)","10,968 (85.0%)"
宿泊,令和7年度,1年前,2025-09-18,木,148万円,134万円 (110.7%),134万円 (110.7%),132,123 (107.3%),123 (107.3%),"11,202","10,864 (103.1%)","10,864 (103.1%)"
宿泊,令和7年度,1年前,2025-09-19,金,242万円,182万円 (132.9%),182万円 (132.9%),257,214 (120.1%),214 (120.1%),"9,418","8,512 (110.6%)","8,512 (110.6%)"
宿泊,令和7年度,1年前,2025-09-20,土,170万円,122万円 (139.5%),122万円 (139.5%),162,126 (128.6%),126 (128.6%),"10,467","9,646 (108.5%)","9,646 (108.5%)"
宿泊,令和7年度,1年前,2025-09-21,日,297万円,303万円 (98.3%),303万円 (98.3%),253,294 (86.1%),294 (86.1%),"11,753","10,291 (114.2%)","10,291 (114.2%)"
宿泊,令和7年度,1年前,2025-09-22,月,271万円,331万円 (81.7%),331万円 (81.7%),219,280 (78.2%),280 (78.2%),"12,365","11,830 (104.5%)","11,830 (104.5%)"
宿泊,令和7年度,1年前,2025-09-23,火,175万円,98万円 (179.7%),98万円 (179.7%),155,77 (201.3%),77 (201.3%),"11,318","12,680 (89.3%)","12,680 (89.3%)"
宿泊,令和7年度,1年前,2025-09-24,水,148万円,89万円 (166.8%),89万円 (166.8%),115,95 (121.1%),95 (121.1%),"12,845","9,323 (137.8%)","9,323 (137.8%)"
宿泊,令和7年度,1年前,2025-09-25,木,99万円,162万円 (61.1%),162万円 (61.1%),117,157 (74.5%),157 (74.5%),"8,441","10,293 (82.0%)","10,293 (82.0%)"
宿泊,令和7年度,1年前,2025-09-26,金,202万円,213万円 (94.8%),213万円 (94.8%),201,231 (87.0%),231 (87.0%),"10,050","9,226 (108.9%)","9,226 (108.9%)"
宿泊,令和7年度,1年前,2025-09-27,土,224万円,133万円 (168.5%),133万円 (168.5%),176,130 (135.4%),130 (135.4%),"12,729","10,226 (124.5%)","10,226 (124.5%)"
宿泊,令和7年度,1年前,2025-09-28,日,315万円,275万円 (114.5%),275万円 (114.5%),242,243 (99.6%),243 (99.6%),"13,020","11,327 (114.9%)","11,327 (114.9%)"
宿泊,令和7年度,1年前,2025-09-29,月,156万円,126万円 (123.2%),126万円 (123.2%),112,120 (93.3%),120 (93.3%),"13,911","10,539 (132.0%)","10,539 (132.0%)"
宿泊,令和7年度,1年前,2025-09-30,火,130万円,85万円 (153.5%),85万円 (153.5%),137,80 (171.3%),80 (171.3%),"9,503","10,601 (89.6%)","10,601 (89.6%)"
宿泊,令和7年度,1年前,2025-10-01,水,133万円,74万円 (180.9%),74万円 (180.9%),126,85 (148.2%),85 (148.2%),"10,570","8,661 (122.0%)","8,661 (122.0%)"
宿泊,令和7年度,1年前,2025-10-02,木,102万円,136万円 (75.3%),136万円 (75.3%),109,147 (74.1%),147 (74.1%),"9,395","9,250 (101.6%)","9,250 (101.6%)"
宿泊,令和7年度,1年前,2025-10-03,金,198万円,126万円 (157.2%),126万円 (157.2%),212,133 (159.4%),133 (159.4%),"9,355","9,483 (98.7%)","9,483 (98.7%)"
宿泊,令和7年度,1年前,2025-10-04,土,156万円,195万円 (79.9%),195万円 (79.9%),138,194 (71.1%),194 (71.1%),"11,286","10,053 (112.3%)","10,053 (112.3%)"
宿泊,令和7年度,1年前,2025-10-05,日,340万円,228万円 (149.1%),228万円 (149.1%),307,228 (134.6%),228 (134.6%),"11,089","10,016 (110.7%)","10,016 (110.7%)"
宿泊,令和7年度,1年前,2025-10-06,月,162万円,102万円 (159.1%),102万円 (159.1%),129,91 (141.8%),91 (141.8%),"12,562","11,193 (112.2%)","11,193 (112.2%)"
宿泊,令和7年度,1年前,2025-10-07,火,95万円,78万円 (122.3%),78万円 (122.3%),87,90 (96.7%),90 (96.7%),"10,915","8,628 (126.5%)","8,628 (126.5%)"
宿泊,令和7年度,1年前,2025-10-08,水,146万円,132万円 (110.7%),132万円 (110.7%),139,131 (106.1%),131 (106.1%),"10,538","10,100 (104.3%)","10,100 (104.3%)"
宿泊,令和7年度,1年前,2025-10-09,木,197万円,138万円 (142.7%),138万円 (142.7%),169,129 (131.0%),129 (131.0%),"11,660","10,702 (109.0%)","10,702 (109.0%)"
宿泊,令和7年度,1年前,2025-10-10,金,275万円,188万円 (146.6%),188万円 (146.6%),312,193 (161.7%),193 (161.7%),"8,821","9,730 (90.7%)","9,730 (90.7%)"
宿泊,令和7年度,1年前,2025-10-11,土,201万円,196万円 (102.5%),196万円 (102.5%),186,206 (90.3%),206 (90.3%),"10,781","9,501 (113.5%)","9,501 (113.5%)"
宿泊,令和7年度,1年前,2025-10-12,日,463万円,389万円 (119.1%),389万円 (119.1%),344,319 (107.8%),319 (107.8%),"13,465","12,188 (110.5%)","12,188 (110.5%)"
宿泊,令和7年度,1年前,2025-10-13,月,489万円,373万円 (131.1%),373万円 (131.1%),382,317 (120.5%),317 (120.5%),"12,792","11,761 (108.8%)","11,761 (108.8%)"
宿泊,令和7年度,1年前,2025-10-14,火,156万円,181万円 (86.1%),181万円 (86.1%),112,146 (76.7%),146 (76.7%),"13,929","12,417 (112.2%)","12,417 (112.2%)"
宿泊,令和7年度,1年前,2025-10-15,水,121万円,96万円 (126.3%),96万円 (126.3%),113,96 (117.7%),96 (117.7%),"10,718","9,991 (107.3%)","9,991 (107.3%)"
宿泊,令和7年度,1年前,2025-10-16,木,146万円,107万円 (136.4%),107万円 (136.4%),135,104 (129.8%),104 (129.8%),"10,785","10,267 (105.0%)","10,267 (105.0%)"
宿泊,令和7年度,1年前,2025-10-17,金,183万円,222万円 (82.4%),222万円 (82.4%),214,196 (109.2%),196 (109.2%),"8,559","11,346 (75.4%)","11,346 (75.4%)"
宿泊,令和7年度,1年前,2025-10-18,土,205万円,229万円 (89.4%),229万円 (89.4%),171,200 (85.5%),200 (85.5%),"12,000","11,471 (104.6%)","11,471 (104.6%)"
宿泊,令和7年度,1年前,2025-10-19,日,317万円,266万円 (119.5%),266万円 (119.5%),252,245 (102.9%),245 (102.9%),"12,595","10,842 (116.2%)","10,842 (116.2%)"
宿泊,令和7年度,1年前,2025-10-20,月,201万円,120万円 (166.8%),120万円 (166.8%),143,98 (145.9%),98 (145.9%),"14,044","12,283 (114.3%)","12,283 (114.3%)"
